"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p75"
24005403803,"Pikesville, MD",76596
24005403500,"Pikesville, MD",68142
24005403601,"Baltimore, MD",67143
24005440100,"Baltimore, MD",66178
24005400400,"Catonsville, MD",63750
24027601104,"Ellicott City, MD",62355
24005401000,"Catonsville, MD",62278
24510261100,"Canton, Baltimore, MD",62153
24005491000,"Baltimore, MD",61071
24003750804,"Glen Burnie, MD",60436
24005411306,"Nottingham, MD",60402
24005400200,"Catonsville, MD",60310
24005430600,"Relay, Halethorpe, MD",60205
24003750400,"Linthicum Heights, MD",59960
24005492002,"Parkville, MD",59794
24510260605,"Medford - Broening, Baltimore, MD",58997
24005420702,"Dundalk, MD",58983
24510120201,"Baltimore, MD",58419
24005491100,"Baltimore, MD",58209
24005401503,"Catonsville, MD",58169
24027601103,"West Elkridge, Elkridge, MD",58059
24005420500,"Baltimore, MD",57934
24005400702,"Baltimore, MD",57883
24005440900,"Rosedale, MD",57879
24510020300,"Fells Point, Baltimore, MD",57615
24005490602,"Baltimore, MD",57534
24005452100,"Sparrows Point, MD",57251
24005440500,"Nottingham, MD",57239
24005411302,"White Marsh, MD",57085
24005400500,"Catonsville, MD",57021
24510271501,"Mount Washington, Baltimore, MD",56869
24005411307,"Nottingham, MD",56786
24005451701,"Middle River, MD",56243
24510270501,"Woodring, Baltimore, MD",55920
24005440800,"Rosedale, MD",55777
24005451702,"Middle River, MD",55633
24510250103,"Violetville, Baltimore, MD",55513
24003750801,"Glen Burnie, MD",55472
24005430400,"Halethorpe, MD",55355
24005451200,"Middle River, MD",55321
24005492101,"Parkville, MD",55218
24510260501,"Joseph Lee, Baltimore, MD",55184
24005490601,"Baltimore, MD",55175
24005420900,"Dundalk, MD",54980
24510271400,"Evergreen, Baltimore, MD",54910
24005440400,"Baltimore, MD",54852
24005400100,"Catonsville, MD",54643
24510271200,"Homeland, Baltimore, MD",54538
24005440200,"Nottingham, MD",54531
24005451300,"Middle River, MD",54439
24005492001,"Parkville, MD",54401
24005451900,"Edgemere, MD",54389
24005450300,"Essex, MD",54221
24005490603,"Baltimore, MD",54168
24005451000,"Essex, MD",54137
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",54115
24027601201,"Elkridge, MD",53998
24005401504,"Catonsville, MD",53983
24005411407,"Parkville, MD",53786
24510270402,"Glenham-Belford, Baltimore, MD",53673
24510240100,"Locust Point, Baltimore, MD",53670
24005420303,"Dundalk, MD",53632
24510130600,"Hampden, Baltimore, MD",53450
24003751200,"Linthicum Heights, MD",53412
24510270502,"North Harford Road, Baltimore, MD",53273
24005430700,"Halethorpe, MD",53154
24005400800,"Catonsville, MD",53143
24005441102,"Rosedale, MD",53111
24005420600,"Baltimore, MD",52804
24510240200,"Riverside, Baltimore, MD",52357
24510240400,"Riverside Park, Baltimore, MD",52236
24003751103,"Glen Burnie, MD",52220
24005420701,"Dundalk, MD",52134
24005440600,"Rosedale, MD",52122
24005403602,"Baltimore, MD",52081
24003750300,"Linthicum Heights, MD",52071
24510270703,"North Harford Road, Baltimore, MD",51897
24005451802,"Middle River, MD",51866
24510010100,"Canton, Baltimore, MD",51733
24005451600,"Middle River, MD",51639
24005491300,"Baltimore, MD",51497
24005490500,"Towson, MD",51413
24005420200,"Dundalk, MD",51287
24005452400,"Dundalk, MD",51193
24005450900,"Essex, MD",50853
24005403401,"Pikesville, MD",50688
24005430800,"Halethorpe, MD",50641
24510271102,"Mid-Charles, Baltimore, MD",50587
24510260800,"Baltimore Highlands, Baltimore, MD",50571
24005450501,"Essex, MD",50487
24005440701,"Rosedale, MD",50406
24510130806,"Woodberry, Baltimore, MD",50361
24003750201,"Brooklyn, Baltimore, MD",50239
24510010200,"Patterson Park, Baltimore, MD",50193
24005403300,"Lochearn, Pikesville, MD",50034
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",49943
24005400600,"Catonsville, MD",49890
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",49867
24027601204,"Elkridge, MD",49594
24510270101,"Arcadia, Baltimore, MD",49545
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",49442
24510272005,"Cross Country, Baltimore, MD",49434
24005441000,"Baltimore, MD",49253
24510230200,"South Baltimore, Baltimore, MD",49250
24005451803,"Middle River, MD",49217
24510130700,"Hampden, Baltimore, MD",49151
24005450100,"Rosedale, MD",48754
24005450200,"Essex, MD",48703
24003750202,"Brooklyn Park, MD",48636
24005421200,"Dundalk, MD",48602
24510270200,"Lauraville, Baltimore, MD",48507
24510280403,"Westgate, Baltimore, MD",48484
24005452500,"Dundalk, MD",48399
24005452000,"Sparrows Point, MD",48395
24005420302,"Dundalk, MD",48079
24510270804,"Lake Walker, Baltimore, MD",48066
24510261000,"Patterson Park, Baltimore, MD",48026
24005400900,"Catonsville, MD",47961
24005430900,"Baltimore, MD",47940
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",47761
24510010300,"Canton, Baltimore, MD",47695
24510272006,"Glen, Baltimore, MD",47695
24005420402,"Dundalk, MD",47670
24510220100,"Baltimore, MD",47645
24005420800,"Dundalk, MD",47532
24510130803,"Medfield, Baltimore, MD",47389
24510030100,"Perkins Homes, Baltimore, MD",47351
24510260900,"Baltimore, MD",47219
24005491402,"Parkville, MD",47182
24510040200,"Downtown, Baltimore, MD",46782
24510010400,"Canton, Baltimore, MD",46714
24510260101,"Cedmont, Baltimore, MD",46450
24005451401,"Middle River, MD",46081
24510271300,"Roland Park, Baltimore, MD",46046
24510250402,"Brooklyn, Baltimore, MD",45939
24510272003,"Baltimore, MD",45899
24005400701,"Catonsville, MD",45869
24510130804,"Hampden, Baltimore, MD",45850
24005421101,"Baltimore, MD",45788
24005401400,"Catonsville, MD",45749
24005492102,"Parkville, MD",45736
24510170100,"Downtown, Baltimore, MD",45683
24005450400,"Essex, MD",45674
24005421102,"Dundalk, MD",45635
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",45634
24510270102,"Waltherson, Baltimore, MD",45626
24005441101,"Rosedale, MD",45515
24005401505,"Catonsville, MD",45439
24005420301,"Dundalk, MD",45438
