"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p25"
24005403803,"Pikesville, MD",70737
24005403601,"Baltimore, MD",56327
24005491000,"Baltimore, MD",52224
24027601104,"Ellicott City, MD",51790
24005403500,"Pikesville, MD",49175
24510271400,"Evergreen, Baltimore, MD",48068
24005490602,"Baltimore, MD",47855
24510271501,"Mount Washington, Baltimore, MD",47002
24005400400,"Catonsville, MD",46676
24005491100,"Baltimore, MD",46459
24027601103,"West Elkridge, Elkridge, MD",45103
24005400100,"Catonsville, MD",44611
24005401400,"Catonsville, MD",44456
24510020300,"Fells Point, Baltimore, MD",44267
24005492002,"Parkville, MD",43040
24510120202,"Baltimore, MD",42879
24005490603,"Baltimore, MD",41914
24005440500,"Nottingham, MD",41587
24005441101,"Rosedale, MD",41538
24005403602,"Baltimore, MD",41305
24005440200,"Nottingham, MD",40943
24005490601,"Baltimore, MD",40692
24005430600,"Relay, Halethorpe, MD",40690
24510240200,"Riverside, Baltimore, MD",40532
24005492001,"Parkville, MD",40114
24005411306,"Nottingham, MD",39936
24003750400,"Linthicum Heights, MD",39636
24005411307,"Nottingham, MD",39332
24005403402,"Pikesville, MD",38693
24005450900,"Essex, MD",38391
24005492102,"Parkville, MD",38127
24005492101,"Parkville, MD",37597
24510271200,"Homeland, Baltimore, MD",37183
24005430400,"Halethorpe, MD",37105
24005411302,"White Marsh, MD",36923
24005401503,"Catonsville, MD",36908
24005430800,"Halethorpe, MD",36819
24005451000,"Essex, MD",36699
24510271300,"Roland Park, Baltimore, MD",36374
24005440800,"Rosedale, MD",35862
24027601204,"Elkridge, MD",35707
24005451702,"Middle River, MD",35490
24005411407,"Parkville, MD",35354
24027601201,"Elkridge, MD",35072
24005452400,"Dundalk, MD",34685
24510270501,"Woodring, Baltimore, MD",34634
24005420701,"Dundalk, MD",34266
24005451200,"Middle River, MD",34255
24005420100,"Dundalk, MD",34137
24005401504,"Catonsville, MD",34135
24005400900,"Catonsville, MD",34106
24005403401,"Pikesville, MD",33877
24510270703,"North Harford Road, Baltimore, MD",33796
24005440300,"Nottingham, MD",33720
24005450100,"Rosedale, MD",33673
24005420702,"Dundalk, MD",33464
24003750801,"Glen Burnie, MD",33443
24005440100,"Baltimore, MD",33346
24005441102,"Rosedale, MD",33233
24510272004,"Cheswolde, Baltimore, MD",33132
24005400200,"Catonsville, MD",33094
24005420200,"Dundalk, MD",33067
24005440900,"Rosedale, MD",33048
24005400701,"Catonsville, MD",33014
24510240100,"Locust Point, Baltimore, MD",32832
24005400800,"Catonsville, MD",32829
24005451701,"Middle River, MD",32813
24003750202,"Brooklyn Park, MD",32553
24005430900,"Baltimore, MD",32535
24005401505,"Catonsville, MD",32523
24005420500,"Baltimore, MD",32267
24005451900,"Edgemere, MD",32172
24005440400,"Baltimore, MD",32144
24510270804,"Lake Walker, Baltimore, MD",32126
24510260700,"Fifteenth Street, Baltimore, MD",31978
