"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p50"
24005403803,"Pikesville, MD",73580
24005403601,"Baltimore, MD",61472
24005403500,"Pikesville, MD",57875
24027601104,"Ellicott City, MD",56793
24005491000,"Baltimore, MD",56440
24005400400,"Catonsville, MD",54516
24005490602,"Baltimore, MD",52436
24005491100,"Baltimore, MD",51966
24510271501,"Mount Washington, Baltimore, MD",51663
24510271400,"Evergreen, Baltimore, MD",51343
24027601103,"West Elkridge, Elkridge, MD",51143
24005492002,"Parkville, MD",50721
24510020300,"Fells Point, Baltimore, MD",50480
24005430600,"Relay, Halethorpe, MD",49527
24005400100,"Catonsville, MD",49352
24005411306,"Nottingham, MD",49167
24003750400,"Linthicum Heights, MD",48803
24005440500,"Nottingham, MD",48792
24005490603,"Baltimore, MD",47642
24005440100,"Baltimore, MD",47423
24005490601,"Baltimore, MD",47392
24005411307,"Nottingham, MD",47304
24005440200,"Nottingham, MD",47258
24005492001,"Parkville, MD",46737
24005401503,"Catonsville, MD",46469
24005403602,"Baltimore, MD",46378
24510240200,"Riverside, Baltimore, MD",46071
24005411302,"White Marsh, MD",46034
24005492101,"Parkville, MD",45653
24005430400,"Halethorpe, MD",45428
24510271200,"Homeland, Baltimore, MD",45131
24005401400,"Catonsville, MD",45090
24005400200,"Catonsville, MD",45061
24005401000,"Catonsville, MD",44901
24005440800,"Rosedale, MD",44886
24005420702,"Dundalk, MD",44765
24005451000,"Essex, MD",44685
24005451702,"Middle River, MD",44614
24510261100,"Canton, Baltimore, MD",44451
24510270501,"Woodring, Baltimore, MD",44239
24005450900,"Essex, MD",44223
24005440900,"Rosedale, MD",44092
24005451200,"Middle River, MD",43775
24005411407,"Parkville, MD",43774
24027601201,"Elkridge, MD",43701
24005420500,"Baltimore, MD",43653
24005441101,"Rosedale, MD",43466
24003750801,"Glen Burnie, MD",43366
24005451701,"Middle River, MD",43310
24005430800,"Halethorpe, MD",43259
24005401504,"Catonsville, MD",43161
24005400500,"Catonsville, MD",43062
24005400702,"Baltimore, MD",42728
24003750804,"Glen Burnie, MD",42505
24005420701,"Dundalk, MD",42469
24005440400,"Baltimore, MD",42370
24005452400,"Dundalk, MD",42306
24005441102,"Rosedale, MD",42288
24510240100,"Locust Point, Baltimore, MD",42286
24005451900,"Edgemere, MD",42202
24027601204,"Elkridge, MD",42186
24510270703,"North Harford Road, Baltimore, MD",42105
24005400800,"Catonsville, MD",42073
24510260501,"Joseph Lee, Baltimore, MD",42064
24005492102,"Parkville, MD",41772
24510250103,"Violetville, Baltimore, MD",41693
24005403401,"Pikesville, MD",41642
24005452100,"Sparrows Point, MD",41569
24003751200,"Linthicum Heights, MD",41490
24510120201,"Baltimore, MD",41447
24005420200,"Dundalk, MD",41441
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",41336
24005451300,"Middle River, MD",41250
24510260605,"Medford - Broening, Baltimore, MD",41091
24005403402,"Pikesville, MD",41063
24510270502,"North Harford Road, Baltimore, MD",41044
24510271300,"Roland Park, Baltimore, MD",40975
24005430700,"Halethorpe, MD",40908
24005420900,"Dundalk, MD",40874
24005490500,"Towson, MD",40865
24005450300,"Essex, MD",40737
24005450100,"Rosedale, MD",40702
24005400900,"Catonsville, MD",40596
24005451802,"Middle River, MD",40558
24005491300,"Baltimore, MD",40481
24003751103,"Glen Burnie, MD",40439
24005440600,"Rosedale, MD",40172
24003750300,"Linthicum Heights, MD",40045
24003750202,"Brooklyn Park, MD",40031
24510010100,"Canton, Baltimore, MD",40029
24005420600,"Baltimore, MD",39945
24005403300,"Lochearn, Pikesville, MD",39928
24005430900,"Baltimore, MD",39721
24510270804,"Lake Walker, Baltimore, MD",39552
24510271503,"Cross Keys, Baltimore, MD",39410
24510270402,"Glenham-Belford, Baltimore, MD",39384
24005420100,"Dundalk, MD",39276
24005452500,"Dundalk, MD",39124
24005400701,"Catonsville, MD",39079
24005451600,"Middle River, MD",39007
24005450501,"Essex, MD",38814
24510250600,"Brooklyn, Baltimore, MD",38798
24005420800,"Dundalk, MD",38792
