"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
36061000900,"Lower Manhattan, New York, NY",97485
36059406400,"Garden City, NY",92716
36059302101,"Roslyn, NY",91376
36059302501,"Roslyn Heights, NY",90337
36059411500,"Hewlett, NY",89945
36059517705,"Glen Head, NY",88453
36059406501,"Garden City, NY",88167
36059301700,"Manhasset, NY",87499
36059412600,"Rockville Centre, NY",87260
36061012800,"Lenox Hill, New York, NY",86782
36061013000,"Lenox Hill, New York, NY",86402
36059412700,"Rockville Centre, NY",85955
36059415102,"Merrick, NY",85866
36059300900,"Manhasset, NY",84515
36059406600,"Mott Section, Garden City, NY",83150
36059412500,"Rockville Centre, NY",82907
36061015001,"Upper East Side, New York, NY",82648
36059301600,"Manhasset, NY",82642
36047004400,"Kings County, NY",82447
36059303301,"Williston Park, NY",82334
36059300500,"Great Neck, NY",81981
36059301500,"Plandome, NY",81980
36059517701,"Glen Head, NY",81847
36047061200,"Kings County, NY",81263
36059300100,"Kings Point, NY",81008
36059518501,"Jericho, NY",80580
36059405800,"Garden City, NY",80567
34013020400,"Livingston, NJ",80452
36059303400,"East Williston, NY",80345
34013020901,"Essex Fells, NJ",80085
36059411902,"Lynbrook, NY",79866
36059302800,"North New Hyde Park, NY",79678
36081091601,"Queens County, NY",79587
34013021602,"North Caldwell, NJ",79553
36061015002,"Upper East Side, New York, NY",79508
36059517801,"Locust Valley, NY",79341
36059302502,"Old Westbury, NY",79097
36081097300,"Queens County, NY",79072
36059302300,"Albertson, NY",78872
34039037900,"Summit, NJ",78652
36059404600,"Floral Park, NY",78556
36061016001,"Upper East Side, New York, NY",78455
36059411302,"Woodmere Park, Woodmere, NY",78309
36081092800,"Queens County, NY",78091
36059300600,"Great Neck Plaza, NY",78087
36047062000,"Kings County, NY",77983
36059301900,"Manhasset, NY",77962
36059302400,"Albertson, NY",77552
36059517500,"Glen Head, NY",77241
36081099701,"Queens County, NY",77224
36059405600,"Franklin Square, NY",77212
36047045800,"Kings County, NY",77058
36059406300,"Garden City, NY",77029
36047065400,"Kings County, NY",77003
36061014200,"Upper East Side, New York, NY",76871
