"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p75"
36081001900,"Queens County, NY",99508
36061002700,"Lower Manhattan, New York, NY",93596
36005044902,"Bronx County, NY",92529
34013000500,"Upper Roseville, Newark, NJ",88584
36047061200,"Kings County, NY",88466
36061000800,"Lower Manhattan, New York, NY",86286
36061001800,"Lower Manhattan, New York, NY",85568
36059406400,"Garden City, NY",84835
36047058200,"Kings County, NY",84704
36061002900,"Chinatown, New York, NY",83710
36081097300,"Queens County, NY",82904
36059302101,"Roslyn, NY",82811
36059303301,"Williston Park, NY",82665
36059405800,"Garden City, NY",82431
36059406501,"Garden City, NY",82286
36047035602,"Kings County, NY",81313
36059412700,"Rockville Centre, NY",80897
36059411902,"Lynbrook, NY",80803
36081099701,"Queens County, NY",80778
36059302501,"Roslyn Heights, NY",80704
36081103300,"Queens County, NY",80627
36047037000,"Kings County, NY",80552
36081017900,"Queens County, NY",79612
36081118900,"Queens County, NY",79244
36047041200,"Kings County, NY",79230
36047016800,"Kings County, NY",79206
36047056400,"Kings County, NY",79180
36047066000,"Kings County, NY",79073
34017019300,"Hoboken, NJ",79047
36059302400,"Albertson, NY",79017
36081066501,"Queens County, NY",78861
36047056800,"Kings County, NY",78831
36047017800,"Kings County, NY",78653
36047017200,"Kings County, NY",78583
36059302800,"North New Hyde Park, NY",78534
36047061004,"Kings County, NY",78403
36061001600,"Chinatown, New York, NY",78267
36047003800,"Kings County, NY",78119
36047065400,"Kings County, NY",78043
36047029400,"Kings County, NY",77933
36081115700,"Queens County, NY",77919
36059412500,"Rockville Centre, NY",77894
36119001401,"Lincoln Park, Yonkers, NY",77765
36047004400,"Kings County, NY",77642
36059302700,"North New Hyde Park, NY",77597
36047062000,"Kings County, NY",77540
36047063600,"Kings County, NY",77490
36081098700,"Queens County, NY",77465
36047101200,"Kings County, NY",77348
36005027401,"Bronx County, NY",77306
36047029200,"Kings County, NY",77287
36081142900,"Queens County, NY",77211
36047055400,"Kings County, NY",77151
36081099703,"Queens County, NY",77122
34017013800,"Harrison, NJ",77109
36059405600,"Franklin Square, NY",77050
36059404600,"Floral Park, NY",77005
34013006900,"Ironbound District, Newark, NJ",76962
36081012301,"Queens County, NY",76830
36081066900,"Queens County, NY",76727
36047029800,"Kings County, NY",76670
36059300900,"Manhasset, NY",76621
34023001902,"Edison, NJ",76573
36081136700,"Queens County, NY",76474
36081048900,"Queens County, NY",76160
36059301600,"Manhasset, NY",76159
36081059900,"Queens County, NY",76093
34039036302,"Clark, NJ",76091
36081091601,"Queens County, NY",75995
34013020400,"Livingston, NJ",75881
34013020700,"Livingston, NJ",75770
36059304001,"Westbury, NY",75638
36081049900,"Queens County, NY",75611
36047075800,"Kings County, NY",75485
36059303500,"Mineola, NY",75459
36059302300,"Albertson, NY",75247
34039036200,"Clark, NJ",74990
36081145900,"Queens County, NY",74947
36081026100,"Queens County, NY",74884
36119005800,"New Rochelle, NY",74785
36059303000,"New Hyde Park, NY",74785
36081105900,"Queens County, NY",74737
36059303102,"New Hyde Park, NY",74671
36059301700,"Manhasset, NY",74646
36047060000,"Kings County, NY",74639
34003023602,"Hackensack, NJ",74549
36059413002,"Oceanside, NY",74511
34013020901,"Essex Fells, NJ",74475
36059300100,"Kings Point, NY",74467
34003029200,"Little Ferry, NJ",74432
36059412600,"Rockville Centre, NY",74428
36081119300,"Queens County, NY",74377
34031246103,"Wayne, NJ",74315
36059300600,"Great Neck Plaza, NY",74291
36047053800,"Kings County, NY",74249
36047041000,"Kings County, NY",74232
36081101700,"Queens County, NY",74136
36085012200,"Richmond County, NY",74113
36081065703,"Queens County, NY",74079
34017018701,"Hoboken, NJ",74049
36081079702,"Queens County, NY",74042
36081067100,"Queens County, NY",73950
36081069702,"Queens County, NY",73936
34017012300,"Kearny, NJ",73892
36047045800,"Kings County, NY",73806
36081103900,"Queens County, NY",73726
34013007000,"Ironbound District, Newark, NJ",73716
36081129102,"Queens County, NY",73704
36059517500,"Glen Head, NY",73682
