"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p25"
36081099705,"Queens County, NY",88090
36059303301,"Williston Park, NY",77556
36081114100,"Queens County, NY",74642
36081038302,"Queens County, NY",73797
36061005200,"Midtown, New York, NY",73583
36005044901,"Bronx County, NY",73193
36047075400,"Kings County, NY",71732
36081150702,"Queens County, NY",71063
36059406400,"Garden City, NY",70505
36059405800,"Garden City, NY",70174
36059412700,"Rockville Centre, NY",69976
36047016800,"Kings County, NY",69921
36047061200,"Kings County, NY",69715
36047000301,"Kings County, NY",69087
36047066000,"Kings County, NY",68958
36047056400,"Kings County, NY",68171
36059302700,"North New Hyde Park, NY",67925
34013020901,"Essex Fells, NJ",67581
34017014101,"North Bergen, NJ",67126
36047018600,"Kings County, NY",66755
36081050700,"Queens County, NY",66559
36059406501,"Garden City, NY",66465
34027041901,"East Hanover, NJ",66005
36081138501,"Queens County, NY",65412
36059404600,"Floral Park, NY",64913
36059302800,"North New Hyde Park, NY",64911
36047020200,"Kings County, NY",64671
36059412500,"Rockville Centre, NY",64663
36047063800,"Kings County, NY",64648
36061011201,"Midtown, New York, NY",64339
36081157901,"Queens County, NY",64323
36081097300,"Queens County, NY",64297
36081066501,"Queens County, NY",63947
36047049700,"Kings County, NY",63937
36061006000,"Midtown, New York, NY",63933
36047064400,"Kings County, NY",63648
36081112900,"Queens County, NY",63557
36047016600,"Kings County, NY",63294
36059411902,"Lynbrook, NY",63274
36059303101,"New Hyde Park, NY",63112
36085017008,"Richmond County, NY",63057
36081113300,"Queens County, NY",62947
36061020101,"Upper Manhattan, New York, NY",62860
36081129102,"Queens County, NY",62827
36047017200,"Kings County, NY",62798
36081103900,"Queens County, NY",62789
36081141700,"Queens County, NY",62710
36081066701,"Queens County, NY",62671
36047055000,"Kings County, NY",62637
36081069500,"Queens County, NY",62626
36059302300,"Albertson, NY",62482
36047003800,"Kings County, NY",62437
34039036302,"Clark, NJ",62341
36059300600,"Great Neck Plaza, NY",62322
36059302501,"Roslyn Heights, NY",62177
36059300100,"Kings Point, NY",62102
36047065400,"Kings County, NY",62055
36047066200,"Kings County, NY",62030
34003033200,"Maywood, NJ",62022
36081109900,"Queens County, NY",62006
36081064101,"Queens County, NY",61816
36081122300,"Queens County, NY",61751
36059302101,"Roslyn, NY",61695
36059303000,"New Hyde Park, NY",61686
36081133300,"Queens County, NY",61671
36047070201,"Kings County, NY",61629
36081080301,"Queens County, NY",61515
36081063700,"Queens County, NY",61435
36081066300,"Queens County, NY",61247
36059302400,"Albertson, NY",61226
36059410200,"Malverne, NY",61118
36061008601,"Midtown, New York, NY",61107
36005029700,"Bronx County, NY",61054
36047003000,"Kings County, NY",61015
36059404500,"Floral Park, NY",60906
36047004400,"Kings County, NY",60739
36081133900,"Queens County, NY",60423
36081142900,"Queens County, NY",60374
36081103300,"Queens County, NY",60365
36081120700,"Queens County, NY",60305
36047014800,"Kings County, NY",60299
36047015000,"Kings County, NY",60268
34013021300,"Cedar Grove, NJ",60204
36059405301,"Franklin Square, NY",60197
36081073100,"Queens County, NY",60144
34003055100,"Tenafly, NJ",60082
36059303700,"Mineola, NY",60038
34017015001,"Guttenberg, NJ",59974
34017017900,"Weehawken, NJ",59931
36081157903,"Bellerose Manor, Floral Park, NY",59884
36005030900,"Bronx County, NY",59862
34013020700,"Livingston, NJ",59756
36047057600,"Kings County, NY",59750
34023001416,"Edison, NJ",59712
36081063301,"Queens County, NY",59644
36081072300,"Queens County, NY",59562
36081049500,"Queens County, NY",59484
36081064500,"Queens County, NY",59204
34031154001,"Little Falls, NJ",59142
36081091601,"Queens County, NY",59118
36047041000,"Kings County, NY",59056
36059410600,"Valley Stream, NY",58956
36081152901,"Queens County, NY",58922
34027041902,"East Hanover, NJ",58781
36059411901,"Lynbrook, NY",58737
36047074400,"Kings County, NY",58734
36059304001,"Westbury, NY",58698
36059404700,"New Hyde Park, NY",58608
36081099703,"Queens County, NY",58607
36085015100,"Richmond County, NY",58389
34013020100,"Essex County, NJ",58381
36081067700,"Queens County, NY",58371
36085025100,"Richmond County, NY",58338
36081157101,"Bellerose Manor, Bellerose, NY",58305
36059302102,"Roslyn Heights, NY",58300
36081075702,"Queens County, NY",58283
36081136700,"Queens County, NY",58264
36047062000,"Kings County, NY",58029
36059405500,"Franklin Square, NY",57997
34013020400,"Livingston, NJ",57859
36081099701,"Queens County, NY",57809
36047057400,"Kings County, NY",57767
36059301600,"Manhasset, NY",57573
36059301102,"Port Washington, NY",57568
36085019800,"Richmond County, NY",57566
36059410000,"Valley Stream, NY",57533
36081076902,"Queens County, NY",57527
34003038300,"North Arlington, NJ",57522
34013021602,"North Caldwell, NJ",57390
36085005900,"Richmond County, NY",57386
36081140902,"Queens County, NY",57359
36081013500,"Queens County, NY",57337
36047035601,"Kings County, NY",57247
36047044600,"Kings County, NY",57218
36059411700,"Hewlett, NY",57205
36061007200,"Kips Bay, New York, NY",57202
36047056800,"Kings County, NY",57164
34023001415,"Edison, NJ",56985
36081140300,"Queens County, NY",56957
36059416801,"Long Beach, NY",56935
36005027401,"Bronx County, NY",56913
36081120300,"Queens County, NY",56837
36081101700,"Queens County, NY",56722
36081079900,"Queens County, NY",56644
36059300300,"Great Neck, NY",56600
34039036200,"Clark, NJ",56600
34023001409,"Edison, NJ",56570
36047038800,"Kings County, NY",56549
36081092800,"Queens County, NY",56505
36047031400,"Kings County, NY",56472
34039033800,"Roselle Park, NJ",56389
36085027301,"Richmond County, NY",56380
36047039200,"Kings County, NY",56354
36047029000,"Kings County, NY",56349
36059517600,"Glen Head, NY",56300
36059405400,"Elmont, NY",56284
36081066900,"Queens County, NY",56251
36081012100,"Queens County, NY",56230
34031223802,"Totowa, NJ",56158
36059303102,"New Hyde Park, NY",56143
36005011800,"Bronx County, NY",56103
36081105900,"Queens County, NY",56095
36081094500,"Queens County, NY",56041
36081150701,"Queens County, NY",56026
36047058800,"Kings County, NY",56002
36059416201,"Island Park, NY",55896
36059517701,"Glen Head, NY",55858
34031124401,"Clifton, NJ",55852
34013020902,"Roseland, NJ",55835
34013021601,"Fairfield, NJ",55813
36047035000,"Kings County, NY",55807
36085020803,"Richmond County, NY",55787
36047013200,"Kings County, NY",55786
36081074100,"Queens County, NY",55783
36081152902,"Queens County, NY",55736
34003019306,"Fort Lee, NJ",55706
36085018901,"Richmond County, NY",55703
36047007000,"Kings County, NY",55688
36059405700,"Franklin Square, NY",55678
36081074700,"Queens County, NY",55620
34003019203,"Fort Lee, NJ",55591
36085027900,"Richmond County, NY",55584
36059300900,"Manhasset, NY",55581
36081013000,"Queens County, NY",55560
36081120500,"Queens County, NY",55553
36061007400,"Midtown, New York, NY",55533
36081059900,"Queens County, NY",55510
34003041302,"Palisades Park, NJ",55476
36081134100,"Queens County, NY",55469
34003019202,"Fort Lee, NJ",55461
36047045000,"Kings County, NY",55450
36081050500,"Queens County, NY",55382
36047025800,"Kings County, NY",55368
36047005601,"Kings County, NY",55317
36085001800,"Richmond County, NY",55310
36085018902,"Richmond County, NY",55243
36081051100,"Queens County, NY",55111
36047056000,"Kings County, NY",55102
36059301700,"Manhasset, NY",55076
36059413803,"Baldwin, NY",54993
36059416402,"Long Beach, NY",54979
36047037401,"Kings County, NY",54958
34039033400,"Union, NJ",54940
36059517500,"Glen Head, NY",54939
36047005000,"Kings County, NY",54912
36005031400,"Bronx County, NY",54891
36081157102,"Queens County, NY",54889
36081118100,"Queens County, NY",54887
36081089200,"Queens County, NY",54870
34013016100,"Upper Montclair, Montclair, NJ",54854
36085014608,"Richmond County, NY",54776
36047005201,"Kings County, NY",54774
36081051300,"Queens County, NY",54769
36047059401,"Kings County, NY",54743
36059405302,"Franklin Square, NY",54712
36081119100,"Queens County, NY",54683
36059406300,"Garden City, NY",54672
34003006100,"Cliffside Park, NJ",54632
36081029300,"Queens County, NY",54609
36005028800,"Bronx County, NY",54595
36081071306,"Queens County, NY",54576
36119005500,"Pelham, Pelham Manor, NY",54575
36047059600,"Kings County, NY",54537
36085020801,"Richmond County, NY",54525
36059413400,"Oceanside, NY",54519
36061011000,"Lenox Hill, New York, NY",54498
36081063500,"Queens County, NY",54484
34003016000,"Englewood Cliffs, NJ",54477
36059517000,"Glen Cove, NY",54458
36059412600,"Rockville Centre, NY",54444
36081060300,"Queens County, NY",54436
36085017005,"Richmond County, NY",54425
34017012400,"Kearny, NJ",54417
36081071701,"Queens County, NY",54408
36047020400,"Kings County, NY",54388
36081098700,"Queens County, NY",54385
34003051400,"Rutherford, NJ",54382
36059303800,"Carle Place, NY",54342
36005024400,"Bronx County, NY",54287
36059406001,"West Hempstead, NY",54231
36059413002,"Oceanside, NY",54190
34039037602,"Springfield Township, NJ",54139
36081104700,"Queens County, NY",54137
36081099100,"Queens County, NY",54114
36047054800,"Kings County, NY",54079
34017006600,"Jersey City, NJ",54066
36047024600,"Kings County, NY",53983
34003012002,"East Rutherford, NJ",53942
36047026200,"Kings County, NY",53888
36081119500,"Queens County, NY",53838
36059300400,"Great Neck, NY",53815
36047029600,"Kings County, NY",53802
36085022600,"Richmond County, NY",53787
36081093401,"Queens County, NY",53757
36047027800,"Kings County, NY",53725
34031124602,"Clifton, NJ",53717
36081006201,"Queens County, NY",53717
36059410100,"Malverne, NY",53711
34023001412,"Edison, NJ",53704
34039036900,"Garwood, NJ",53675
36047037000,"Kings County, NY",53582
34003019204,"Fort Lee, NJ",53541
36047028000,"Kings County, NY",53530
36081083700,"Queens County, NY",53475
36059302000,"Roslyn, NY",53467
36081115100,"Queens County, NY",53455
34003045200,"Ridgefield, NJ",53444
34039038300,"Mountainside, NJ",53424
36047040600,"Kings County, NY",53422
34039036700,"Westfield, NJ",53398
36047069602,"Kings County, NY",53307
36081069702,"Queens County, NY",53304
36047060000,"Kings County, NY",53295
36059413200,"Oceanside, NY",53289
34017019800,"Secaucus, NJ",53286
36047058400,"Kings County, NY",53268
36059303202,"Garden City Park, NY",53245
36047039000,"Kings County, NY",53243
34039033500,"Union, NJ",53205
34003052100,"Saddle Brook, NJ",53196
36081049700,"Queens County, NY",53196
36081010100,"Queens County, NY",53148
36081070700,"Queens County, NY",53137
34013014200,"Belleville, NJ",53084
36005044902,"Bronx County, NY",53059
36081116700,"Queens County, NY",53043
34003019305,"Fort Lee, NJ",53014
36047075600,"Kings County, NY",52917
36047025000,"Kings County, NY",52899
34003019304,"Fort Lee, NJ",52894
36081079701,"Queens County, NY",52889
34003004002,"Bogota, NJ",52887
36047070600,"Kings County, NY",52856
36081022002,"Queens County, NY",52853
34003051200,"Rutherford, NJ",52832
36081047600,"Queens County, NY",52806
36061011800,"Lenox Hill, New York, NY",52801
36059301500,"Plandome, NY",52791
36081121500,"Queens County, NY",52789
36047044000,"Kings County, NY",52756
34039037000,"Cranford, NJ",52748
36047055200,"Kings County, NY",52726
36059517400,"Sea Cliff, NY",52723
34039032902,"Union, NJ",52707
34003057200,"Wallington, NJ",52704
34013015000,"Bloomfield, NJ",52695
34003013001,"Edgewater, NJ",52679
36081025301,"Queens County, NY",52563
36081049900,"Queens County, NY",52561
36047038600,"Kings County, NY",52538
36047041402,"Kings County, NY",52515
36081119900,"Queens County, NY",52499
36047042600,"Kings County, NY",52496
36081108500,"Queens County, NY",52479
36059404300,"Bellerose Terrace, Floral Park, NY",52462
36047030600,"Kings County, NY",52459
36059405600,"Franklin Square, NY",52439
36081119300,"Queens County, NY",52427
34003051100,"Rutherford, NJ",52345
36047055600,"Kings County, NY",52325
36059404400,"Floral Park, NY",52311
36047020600,"Kings County, NY",52303
36047027400,"Kings County, NY",52279
36081107201,"Queens County, NY",52257
36081111300,"Queens County, NY",52174
36059304002,"Westbury, NY",52147
36047035602,"Kings County, NY",52143
36081071900,"Queens County, NY",52118
36059303400,"East Williston, NY",52091
36047006600,"Kings County, NY",52079
34003031200,"Lyndhurst, NJ",52066
36059301200,"Port Washington, NY",52066
36081074900,"Queens County, NY",52042
36081071304,"Queens County, NY",52038
34003045100,"Ridgefield, NJ",52023
34003028002,"Leonia, NJ",52020
36081129104,"Queens County, NY",51969
36047056200,"Kings County, NY",51965
36047016200,"Kings County, NY",51957
36085027705,"Richmond County, NY",51944
34013017301,"West Orange, NJ",51941
34031124402,"Clifton, NJ",51935
36085024402,"Richmond County, NY",51916
36081115500,"Queens County, NY",51887
36047039800,"Kings County, NY",51883
36081116100,"Queens County, NY",51880
34031124312,"Clifton, NJ",51875
36081048300,"Queens County, NY",51831
36047059402,"Kings County, NY",51827
36081063900,"Queens County, NY",51823
36081008800,"Queens County, NY",51814
36059303302,"Williston Park, NY",51798
34003011300,"Elmwood Park, NJ",51790
36059410700,"Valley Stream, NY",51767
36081145900,"Queens County, NY",51758
36047025600,"Kings County, NY",51722
36047029400,"Kings County, NY",51717
36081062500,"Queens County, NY",51687
34023001410,"Edison, NJ",51667
34017013400,"East Newark, NJ",51650
34023002401,"Colonia, Woodbridge Township, NJ",51634
34003025200,"Hasbrouck Heights, NJ",51626
36047043600,"Kings County, NY",51586
36059411200,"Cedarhurst, NY",51580
36081076901,"Queens County, NY",51579
36081080302,"Queens County, NY",51536
36085017010,"Richmond County, NY",51519
36081147900,"Queens County, NY",51491
36047021000,"Kings County, NY",51487
36081015100,"Queens County, NY",51419
36047064200,"Kings County, NY",51404
36085027704,"Richmond County, NY",51392
34013007800,"Ironbound District, Newark, NJ",51372
36047027000,"Kings County, NY",51287
36085015601,"Richmond County, NY",51281
34003019103,"Fort Lee, NJ",51280
34013021400,"Cedar Grove, NJ",51279
34027042600,"Florham Park, NJ",51268
36081072100,"Queens County, NY",51249
36081057700,"Queens County, NY",51248
36081146700,"Queens County, NY",51233
36047059200,"Kings County, NY",51219
36081071305,"Queens County, NY",51216
36047035400,"Kings County, NY",51185
36081068700,"Queens County, NY",51146
34013021000,"Verona, NJ",51116
36119001502,"Southeast Yonkers, Yonkers, NY",51114
36081077904,"Queens County, NY",51055
36085014606,"Richmond County, NY",51030
36047060600,"Kings County, NY",51030
36059410800,"Valley Stream, NY",51004
36059302900,"North New Hyde Park, NY",51002
36081048900,"Queens County, NY",50988
36081056200,"Queens County, NY",50987
36059411302,"Woodmere Park, Woodmere, NY",50979
34003019104,"Fort Lee, NJ",50967
36059416900,"Lido Beach, NY",50945
36047075800,"Kings County, NY",50945
34013007600,"North Ironbound, Newark, NJ",50882
36081099704,"Queens County, NY",50873
36085027706,"Richmond County, NY",50853
34039034800,"Linden, NJ",50840
36081003100,"Queens County, NY",50802
36081047900,"Queens County, NY",50798
36119001503,"Southeast Yonkers, Yonkers, NY",50789
36005045101,"Bronx County, NY",50786
34017014900,"North Bergen, NJ",50785
36081071702,"Queens County, NY",50783
36085017600,"Richmond County, NY",50778
34017001201,"The Heights, Jersey City, NJ",50735
36047075200,"Kings County, NY",50731
36081066100,"Queens County, NY",50730
36061015001,"Upper East Side, New York, NY",50695
36059301900,"Manhasset, NY",50692
34003038100,"North Arlington, NJ",50683
34003050000,"Rochelle Park, NJ",50643
36081029700,"Queens County, NY",50600
34013020500,"Livingston, NJ",50582
34003030100,"Lodi, NJ",50566
34013007200,"Ironbound District, Newark, NJ",50517
36081077300,"Queens County, NY",50501
34003031100,"Lyndhurst, NJ",50459
34013013400,"Nutley, NJ",50442
36081130100,"Queens County, NY",50367
36059406600,"Mott Section, Garden City, NY",50354
36081052100,"Queens County, NY",50331
36081070900,"Queens County, NY",50312
34003033100,"Maywood, NJ",50308
36047030200,"Kings County, NY",50264
34013014000,"Belleville, NJ",50233
36085013800,"Richmond County, NY",50226
36081124700,"Queens County, NY",50223
36059517705,"Glen Head, NY",50206
36061015900,"Lincoln Square, New York, NY",50181
36047039400,"Kings County, NY",50172
36085009601,"Richmond County, NY",50164
36047028800,"Kings County, NY",50163
34027040803,"Pine Brook, Montville, NJ",50154
36059303500,"Mineola, NY",50135
36081013400,"Queens County, NY",50132
36005025200,"Bronx County, NY",50107
36047019400,"Kings County, NY",50099
36085002002,"Richmond County, NY",50087
34039037400,"Cranford, NJ",50086
36081144100,"Queens County, NY",50048
36085015603,"Richmond County, NY",50042
36085009602,"Richmond County, NY",50036
34013013800,"Nutley, NJ",50022
36047018000,"Kings County, NY",50019
36047026800,"Kings County, NY",50016
34027040102,"Lincoln Park, NJ",49989
36081029500,"Queens County, NY",49983
36047043400,"Kings County, NY",49944
36085003600,"Richmond County, NY",49940
36047065200,"Kings County, NY",49926
36005029301,"Bronx County, NY",49923
36061012200,"Lenox Hill, New York, NY",49914
36081074300,"Queens County, NY",49910
36081069701,"Queens County, NY",49900
36081071100,"Queens County, NY",49862
34031124322,"Clifton, NJ",49855
34017012500,"Kearny, NJ",49853
36047076800,"Kings County, NY",49842
36081074500,"Queens County, NY",49835
36005051600,"Bronx County, NY",49828
36047045200,"Kings County, NY",49826
36081047500,"Queens County, NY",49819
36047036002,"Kings County, NY",49805
36047043200,"Kings County, NY",49800
36081088901,"Queens County, NY",49780
36081044800,"Queens County, NY",49763
34039037601,"Springfield Township, NJ",49751
36081072900,"Queens County, NY",49746
34023002102,"Metuchen, NJ",49731
34039032500,"Hillside, NJ",49724
36047005400,"Kings County, NY",49723
36059411800,"Lynbrook, NY",49722
36047076000,"Kings County, NY",49720
36081025700,"Queens County, NY",49706
36081127700,"Queens County, NY",49675
36081062900,"Queens County, NY",49659
36061028100,"Fort George, New York, NY",49651
36061014700,"Lincoln Square, New York, NY",49649
36047054600,"Kings County, NY",49643
36081093900,"Queens County, NY",49637
36081014700,"Queens County, NY",49631
36085014605,"Richmond County, NY",49626
36047019200,"Kings County, NY",49583
36047058600,"Kings County, NY",49557
34023002301,"Colonia, Woodbridge Township, NJ",49549
36047005800,"Kings County, NY",49548
36059412200,"East Rockaway, NY",49539
36081069300,"Queens County, NY",49518
36047028600,"Kings County, NY",49464
36081001200,"Queens County, NY",49452
36005027402,"Bronx County, NY",49446
34013016000,"Glen Ridge, NJ",49421
36081011100,"Queens County, NY",49419
36061011700,"Hell's Kitchen, New York, NY",49385
34027041702,"Lake Hiawatha, Parsippany-Troy Hills, NJ",49375
36081140901,"Queens County, NY",49368
34039037500,"Springfield Township, NJ",49356
34013013900,"Nutley, NJ",49347
36047024800,"Kings County, NY",49333
34017000400,"The Heights, Jersey City, NJ",49314
36081086100,"Queens County, NY",49298
34003051300,"Rutherford, NJ",49278
36059406002,"West Hempstead, NY",49263
36047026600,"Kings County, NY",49244
36081114700,"Queens County, NY",49231
36047041200,"Kings County, NY",49222
36047049600,"Kings County, NY",49185
34003006202,"Cliffside Park, NJ",49181
34023002302,"Colonia, Woodbridge Township, NJ",49175
36061004100,"Lower Manhattan, New York, NY",49166
34013013700,"Nutley, NJ",49145
36081077903,"Queens County, NY",49144
36081126700,"Queens County, NY",49139
36047017400,"Kings County, NY",49125
34013006900,"Ironbound District, Newark, NJ",49125
36061008400,"Midtown, New York, NY",49101
36047054400,"Kings County, NY",49094
36081113900,"Queens County, NY",49084
36081045700,"Queens County, NY",49069
36081092900,"Queens County, NY",49050
36085017012,"Richmond County, NY",49040
36059405900,"West Hempstead, NY",49002
36047013800,"Kings County, NY",48978
36047028400,"Kings County, NY",48947
36081054800,"Queens County, NY",48933
36081051500,"Queens County, NY",48918
34013014900,"Bloomfield, NJ",48912
36081056600,"Queens County, NY",48902
34003054300,"Teaneck, NJ",48902
36047028200,"Kings County, NY",48900
36085027302,"Richmond County, NY",48879
36047036001,"Kings County, NY",48878
36085017011,"Richmond County, NY",48876
34039037900,"Summit, NJ",48876
36081014900,"Queens County, NY",48847
36085005000,"Richmond County, NY",48840
36081146300,"Queens County, NY",48830
36081048100,"Queens County, NY",48816
34013007300,"Ironbound District, Newark, NJ",48798
36081109300,"Queens County, NY",48790
36085013201,"Richmond County, NY",48775
36081023000,"Queens County, NY",48759
36061011402,"Upper East Side, New York, NY",48757
36081077902,"Queens County, NY",48731
36059301000,"Sands Point, NY",48725
36061002900,"Chinatown, New York, NY",48722
36081129103,"Queens County, NY",48717
34017013300,"Kearny, NJ",48709
36081124100,"Queens County, NY",48696
36047061600,"Kings County, NY",48684
34013021702,"Caldwell, NJ",48678
36047029800,"Kings County, NY",48668
36047065000,"Kings County, NY",48667
34023002500,"Iselin, Woodbridge Township, NJ",48643
34003025100,"Hasbrouck Heights, NJ",48614
36047026000,"Kings County, NY",48611
36047060800,"Kings County, NY",48603
36047019600,"Kings County, NY",48587
34003041100,"Palisades Park, NJ",48536
36047043800,"Kings County, NY",48528
36081013700,"Queens County, NY",48494
36085012200,"Richmond County, NY",48486
36081003800,"Queens County, NY",48483
34013015100,"Bloomfield, NJ",48483
36061000800,"Lower Manhattan, New York, NY",48460
34031223801,"Totowa, NJ",48452
36081085900,"Queens County, NY",48434
34039033700,"Roselle Park, NJ",48375
36081059300,"Queens County, NY",48368
36059416701,"Long Beach, NY",48356
34013020300,"Essex County, NJ",48325
36047040800,"Kings County, NY",48306
36047018200,"Kings County, NY",48290
36047063200,"Kings County, NY",48276
36081117500,"Queens County, NY",48274
36059517302,"Glen Cove, NY",48263
36081070300,"Queens County, NY",48230
36081080900,"Queens County, NY",48200
36061004300,"Lower Manhattan, New York, NY",48195
36005045102,"Bronx County, NY",48167
36081147100,"Queens County, NY",48157
36081077905,"Queens County, NY",48140
36059410500,"Valley Stream, NY",48135
36081065900,"Queens County, NY",48097
36047055400,"Kings County, NY",48075
34039033300,"Union, NJ",48067
36047011600,"Kings County, NY",48052
36059517802,"Locust Valley, NY",48030
36081045900,"Queens County, NY",48026
36005015200,"Bronx County, NY",48009
34003038200,"North Arlington, NJ",47995
36047006200,"Kings County, NY",47930
36047062200,"Kings County, NY",47918
34031264102,"Woodland Park, NJ",47912
36047068600,"Kings County, NY",47908
36047043000,"Kings County, NY",47897
36061015002,"Upper East Side, New York, NY",47896
36081062100,"Queens County, NY",47864
36085020804,"Richmond County, NY",47857
34013017400,"West Orange, NJ",47830
36085027702,"Richmond County, NY",47818
34003029200,"Little Ferry, NJ",47802
36059411400,"Woodmere, NY",47771
36061001600,"Chinatown, New York, NY",47755
34003046300,"Ridgefield Park, NJ",47752
36047074600,"Kings County, NY",47751
36047018400,"Kings County, NY",47743
36081055200,"Queens County, NY",47743
36081088400,"Queens County, NY",47638
36047005202,"Kings County, NY",47635
36061002700,"Lower Manhattan, New York, NY",47631
36047003600,"Kings County, NY",47616
34031124321,"Clifton, NJ",47602
36047045800,"Kings County, NY",47573
36081051700,"Queens County, NY",47567
34039035000,"Linden, NJ",47563
34017012900,"Kearny, NJ",47558
34013021701,"Caldwell, NJ",47544
36081063302,"Queens County, NY",47533
36059416300,"Atlantic Beach, NY",47525
36081048500,"Queens County, NY",47509
36047006700,"Kings County, NY",47500
36081058700,"Queens County, NY",47491
36047058000,"Kings County, NY",47483
36005031000,"Bronx County, NY",47480
36047056900,"Kings County, NY",47475
34003013002,"Edgewater, NJ",47458
36085017700,"Richmond County, NY",47451
34003060000,"Wood-Ridge, NJ",47450
36059406100,"West Hempstead, NY",47440
36081068300,"Queens County, NY",47433
36005028500,"Bronx County, NY",47406
36061012500,"Midtown, New York, NY",47403
36047025200,"Kings County, NY",47389
36081122701,"Queens County, NY",47388
36085017009,"Richmond County, NY",47387
36047070000,"Kings County, NY",47347
36081018501,"Queens County, NY",47345
36047053800,"Kings County, NY",47344
34039036800,"Westfield, NJ",47321
34013007000,"Ironbound District, Newark, NJ",47281
34023002604,"Iselin, Woodbridge Township, NJ",47278
34031154002,"Little Falls, NJ",47272
36047006800,"Kings County, NY",47269
36081009500,"Queens County, NY",47267
34017015801,"West New York, NJ",47207
36047037402,"Kings County, NY",47182
36059416802,"Long Beach, NY",47181
36081025500,"Queens County, NY",47166
36059411600,"Lawrence, NY",47144
34023001902,"Edison, NJ",47137
36085014604,"Richmond County, NY",47129
36081015500,"Queens County, NY",47093
34003004001,"Bogota, NJ",47083
36059301101,"Port Washington, NY",47083
34039033900,"Roselle Park, NJ",47071
36047056100,"Kings County, NY",47061
36005025400,"Bronx County, NY",47060
36081024500,"Queens County, NY",47039
36081098100,"Queens County, NY",47017
36061001502,"Lower Manhattan, New York, NY",46990
36081115700,"Queens County, NY",46984
36081011500,"Queens County, NY",46939
36081139900,"Queens County, NY",46929
36059517102,"Glen Cove, NY",46925
36081079702,"Queens County, NY",46914
36081145102,"Queens County, NY",46891
36081085700,"Queens County, NY",46885
36085013204,"Richmond County, NY",46871
36081143500,"Queens County, NY",46870
34039034900,"Linden, NJ",46860
36047018800,"Kings County, NY",46848
36047030400,"Kings County, NY",46847
36085018100,"Richmond County, NY",46844
36081148300,"Queens County, NY",46841
36081071303,"Queens County, NY",46823
34013000400,"Upper Roseville, Newark, NJ",46817
36085029103,"Richmond County, NY",46816
36059412000,"Lynbrook, NY",46797
36081056700,"Queens County, NY",46788
36061003100,"Chinatown, New York, NY",46785
34039037200,"Cranford, NJ",46780
34013015400,"Bloomfield, NJ",46777
36047055800,"Kings County, NY",46728
36059413100,"Oceanside, NY",46724
34003005000,"Carlstadt, NJ",46722
34023001701,"Edison, NJ",46720
36047057000,"Kings County, NY",46694
36081024700,"Queens County, NY",46681
36047057800,"Kings County, NY",46681
34027041704,"Parsippany, Parsippany-Troy Hills, NJ",46679
34039035600,"Rahway, NJ",46677
36005031800,"Bronx County, NY",46675
36059413300,"Oceanside, NY",46650
36047040400,"Kings County, NY",46638
36059413600,"Baldwin, NY",46610
34003052200,"Saddle Brook, NJ",46603
36047012801,"Kings County, NY",46597
34013013500,"Nutley, NJ",46584
36085029104,"Richmond County, NY",46560
34039036400,"Westfield, NJ",46556
36081009700,"Queens County, NY",46552
36047024400,"Kings County, NY",46543
36085004700,"Richmond County, NY",46540
34003033300,"Maywood, NJ",46540
36081077500,"Queens County, NY",46494
36085007400,"Richmond County, NY",46491
36047061004,"Kings County, NY",46487
34017010600,"Constable Hook, Bayonne, NJ",46486
36081015400,"Queens County, NY",46482
34003028001,"Leonia, NJ",46478
36081014000,"Queens County, NY",46366
36081155102,"Queens County, NY",46366
36047044400,"Kings County, NY",46301
36081012500,"Queens County, NY",46296
36005024800,"Bronx County, NY",46266
36061004400,"Midtown, New York, NY",46261
36081049301,"Queens County, NY",46240
34013021802,"West Caldwell, NJ",46232
36047044800,"Kings County, NY",46224
36047064600,"Kings County, NY",46215
36047041800,"Kings County, NY",46206
36047025400,"Kings County, NY",46205
34013020200,"Essex County, NJ",46195
36081001600,"Queens County, NY",46179
36081157902,"Queens County, NY",46175
34013021100,"Verona, NJ",46158
34023008900,"Edison, NJ",46147
36061006900,"Lower Manhattan, New York, NY",46120
36081046300,"Queens County, NY",46111
36081001000,"Queens County, NY",46097
34017013100,"Kearny, NJ",46077
34027041803,"Parsippany, Parsippany-Troy Hills, NJ",46062
36047046400,"Kings County, NY",46052
36047053200,"Kings County, NY",46038
36085016901,"Richmond County, NY",45997
36081118700,"Queens County, NY",45994
36047027600,"Kings County, NY",45990
36081075701,"Queens County, NY",45986
34013014300,"Belleville, NJ",45986
36081093402,"Queens County, NY",45965
36061014401,"Upper East Side, New York, NY",45965
36047005602,"Kings County, NY",45962
36047059100,"Kings County, NY",45960
36059413001,"Oceanside, NY",45910
36047063600,"Kings County, NY",45906
34003006300,"Cliffside Park, NJ",45904
36081018900,"Queens County, NY",45901
36081045000,"Queens County, NY",45900
34023002701,"Avenel, Woodbridge Township, NJ",45882
36047017800,"Kings County, NY",45874
34003054600,"Teaneck, NJ",45865
36059300500,"Great Neck, NY",45856
34039037300,"Cranford, NJ",45849
36047069800,"Kings County, NY",45842
