"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p50"
36059303301,"Williston Park, NY",80039
36047061200,"Kings County, NY",78448
36081099705,"Queens County, NY",77385
36059406400,"Garden City, NY",77280
36059405800,"Garden City, NY",76015
36059412700,"Rockville Centre, NY",75201
36047016800,"Kings County, NY",74389
36059406501,"Garden City, NY",73922
36047066000,"Kings County, NY",73811
36047056400,"Kings County, NY",73435
36081097300,"Queens County, NY",72992
36081114100,"Queens County, NY",72835
36059302700,"North New Hyde Park, NY",72567
36059411902,"Lynbrook, NY",71492
36059302101,"Roslyn, NY",71487
36059302800,"North New Hyde Park, NY",71369
36081066501,"Queens County, NY",70996
36059412500,"Rockville Centre, NY",70945
34013020901,"Essex Fells, NJ",70915
36059302501,"Roslyn Heights, NY",70842
36059404600,"Floral Park, NY",70676
36081150702,"Queens County, NY",70501
36047017200,"Kings County, NY",70242
36005044902,"Bronx County, NY",70212
36047003800,"Kings County, NY",69835
36081103300,"Queens County, NY",69788
36047065400,"Kings County, NY",69587
36059302400,"Albertson, NY",69563
36047075400,"Kings County, NY",68910
34039036302,"Clark, NJ",68866
36081157901,"Queens County, NY",68754
36047004400,"Kings County, NY",68685
36059302300,"Albertson, NY",68560
36047000301,"Kings County, NY",68554
36081099701,"Queens County, NY",68393
34027041901,"East Hanover, NJ",68313
36081142900,"Queens County, NY",68289
36081112900,"Queens County, NY",68256
36081129102,"Queens County, NY",68033
36059300600,"Great Neck Plaza, NY",68033
36081103900,"Queens County, NY",68023
36059300100,"Kings Point, NY",67993
36059303000,"New Hyde Park, NY",67912
36059303101,"New Hyde Park, NY",67680
36047018600,"Kings County, NY",67522
36081064101,"Queens County, NY",67446
34013020700,"Livingston, NJ",67296
36081099703,"Queens County, NY",67256
36047056800,"Kings County, NY",67182
36047062000,"Kings County, NY",67112
36081091601,"Queens County, NY",67044
36061002700,"Lower Manhattan, New York, NY",67027
36081063700,"Queens County, NY",66796
36047063800,"Kings County, NY",66776
36081136700,"Queens County, NY",66775
36005044901,"Bronx County, NY",66755
36047070201,"Kings County, NY",66725
36059304001,"Westbury, NY",66649
36047064400,"Kings County, NY",66558
36081138501,"Queens County, NY",66467
36061005200,"Midtown, New York, NY",66464
36081109900,"Queens County, NY",66457
36005027401,"Bronx County, NY",66374
34013020400,"Livingston, NJ",66284
36081141700,"Queens County, NY",66277
36059301600,"Manhasset, NY",66246
36047057600,"Kings County, NY",66244
36047055000,"Kings County, NY",66237
36047041000,"Kings County, NY",66217
36081122300,"Queens County, NY",66173
36059405301,"Franklin Square, NY",66067
36081113300,"Queens County, NY",66005
36081157903,"Bellerose Manor, Floral Park, NY",65883
36059303700,"Mineola, NY",65862
36047037000,"Kings County, NY",65801
36085017008,"Richmond County, NY",65769
